id,name,lat,lon,address,city,region,country,access,hours,status,instrument,notes,sources,url,created_at,updated_at,last_verified_at
q5k0jb,Houari Boumediene Airport,36.69389,3.21453,,Algiers,Algiers,Algeria,public,,active,,There is a piano in Terminal 1.,"[{""source"":""airportpianos"",""ref"":""ALG""}]",https://openpianos.net/piano/q5k0jb,"""2026-08-26T19:23:51.453Z""","""2026-08-26T19:23:51.453Z""",
576sfe,Adelaide Airport,-34.94751,138.53339,,Adelaide,Adelaide,Australia,public,,active,,"location: Terminal 1
Adelaide Airport has a piano in Terminal 1, after security.","[{""source"":""airportpianos"",""ref"":""ADL""}]",https://openpianos.net/piano/576sfe,"""2026-08-26T19:23:51.453Z""","""2026-08-26T19:23:51.453Z""",
859p72,Main Avenue,-34.94674,138.62667,,Adelaide,South Australia,Australia,public,,active,,"Not sure if your allowed to play, has some turner & sons piano makers cards on top.","[{""source"":""pianos.pub"",""ref"":""r1f94w0""}]",https://openpianos.net/piano/859p72,"""2026-08-27T15:23:34.036Z""","""2026-08-27T15:23:34.036Z""",
ksegrs,Nelson Street,-34.91122,138.62854,,Adelaide,South Australia,Australia,public,,active,,,"[{""source"":""pianos.pub"",""ref"":""r1f96sd""}]",https://openpianos.net/piano/ksegrs,"""2026-08-27T15:23:34.036Z""","""2026-08-27T15:23:34.036Z""",
vbedk3,Public Library,-34.95311,138.60802,,Adelaide,South Australia,Australia,public,,active,,"Indoors inside library, must be an accomplished player to be allowed to play","[{""source"":""pianos.pub"",""ref"":""r1f94hg""}]",https://openpianos.net/piano/vbedk3,"""2026-08-27T15:23:34.036Z""","""2026-08-27T15:23:34.036Z""",
2rwgyv,RAA Charge,-34.93808,138.64319,,Adelaide,South Australia,Australia,public,,active,,"Outside library were children's playground, under roof cover","[{""source"":""pianos.pub"",""ref"":""r1f94zs""}]",https://openpianos.net/piano/2rwgyv,"""2026-08-27T15:23:34.036Z""","""2026-08-27T15:23:34.036Z""",
y45fss,Melbourne International Airport,-37.67073,144.8379,,Melbourne,Melbourne,Australia,public,,active,,There is a piano at Melbourne International Airport in Terminal 1 at Gate 15.,"[{""source"":""airportpianos"",""ref"":""MEL""}]",https://openpianos.net/piano/y45fss,"""2026-08-26T19:23:51.453Z""","""2026-08-26T19:23:51.453Z""",
5fzsxm,John Street,-34.05397,150.69534,,Sydney,New South Wales,Australia,public,,active,,"Kawai upright place on the verandah of Macaria. The piano has been painted by D’Harawal artist, Michael Fardon.","[{""source"":""pianos.pub"",""ref"":""r3gnm0t""}]",https://openpianos.net/piano/5fzsxm,"""2026-08-27T15:23:41.509Z""","""2026-08-27T15:23:41.509Z""",
jk6jcm,Brady Street,-43.16469,146.92651,,,Tasmania,Australia,public,,active,,"Free to use, public encouraged. Available during open hours only.","[{""source"":""pianos.pub"",""ref"":""r226rqh""}]",https://openpianos.net/piano/jk6jcm,"""2026-08-27T15:23:34.036Z""","""2026-08-27T15:23:34.036Z""",
pwya5g,Dickson Library,-35.24986,149.1394,,,,Australia,public,,active,,,"[{""source"":""pianos.pub"",""ref"":""r3dp3yb""}]",https://openpianos.net/piano/pwya5g,"""2026-08-27T15:23:41.509Z""","""2026-08-27T15:23:41.509Z""",
